OXY_Open,OXY_High,OXY_Low,OXY_Adj_Close,OXY_Adj_PD,OXY_Volume,OIL_Open,OIL_Close,OIL_High,OIL_Low,Max/Min Label,Rel_Max,Rel_Min,Max/Min Label_P,Rel_Max_P,Rel_Min_P,Max/Min Label_dP,Rel_Max_dP,Rel_Min_dP
71.25,71.65,68.46,52.73,,4221877,34.54,33.27,35.11,32.9,,,,,,,,,
67.59,69.49,67.29,53.09,0.006827233074,3453271,32.98,34.41,34.67,32.37,0,#N/A,#N/A,1,0.006827233074,#N/A,,,
71.23,71.23,69.75,53.44,0.00659257864,3347800,35.1,35.1,37,34.73,1,53.44,#N/A,0,#N/A,#N/A,,,
70.31,70.53,68.52,52.69,-0.01403443114,4651000,35.1,35.97,36.23,34.83,2,#N/A,52.69,2,#N/A,-0.01403443114,2,#N/A,-0.01403443114
69.25,70.6,68.57,53.93,0.0235338774,4472100,36.6,36.81,37.25,35.95,0,#N/A,#N/A,1,0.0235338774,#N/A,1,0.0235338774,#N/A
70.08,71.66,69.57,54.82,0.0165028741,4522400,36.62,36.93,37.4,36.1,1,54.82,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
71.59,71.62,69.38,53.96,-0.01568770522,6663200,37.05,37.07,37.37,36.35,0,#N/A,#N/A,2,#N/A,-0.01568770522,2,#N/A,-0.01568770522
70.7,71,69.15,53.37,-0.0109340252,5744800,37.04,38.72,38.95,36.82,2,#N/A,53.37,0,#N/A,#N/A,0,#N/A,#N/A
70.07,70.74,68.32,53.86,0.009181187933,6939600,38.88,40.84,41.04,38.87,1,53.86,#N/A,1,0.009181187933,#N/A,1,0.009181187933,#N/A
67.23,69.25,66.3,52.95,-0.0168956554,5721100,39.65,41.07,41.18,39.39,2,#N/A,52.95,2,#N/A,-0.0168956554,2,#N/A,-0.0168956554
68.27,68.73,67.53,52.96,0.0001888574127,4637700,40.89,40.05,41.01,39.63,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
69.67,70.21,69.11,54.13,0.02209214502,3925300,40.33,40.39,41.03,40.02,1,54.13,#N/A,1,0.02209214502,#N/A,1,0.02209214502,#N/A
69.13,69.67,68.65,53.43,-0.01293183078,2938200,40.25,39.53,40.65,38.82,0,#N/A,#N/A,2,#N/A,-0.01293183078,2,#N/A,-0.01293183078
68.06,68.36,67.48,52.87,-0.01048100318,4180000,39.67,38.74,39.74,38.32,2,#N/A,52.87,0,#N/A,#N/A,0,#N/A,#N/A
68.74,69.74,68.07,53.72,0.01607717042,3601500,39.14,40.33,40.44,38.83,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
70.33,71.17,69.45,54.68,0.01787043931,4337100,40.45,41.54,41.6,40.41,0,#N/A,#N/A,1,0.01787043931,#N/A,1,0.01787043931,#N/A
71.24,71.57,70.1,55.17,0.008961228969,5978200,41.38,41.2,42.54,41.07,1,55.17,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
