OXY_Open,OXY_High,OXY_Low,OXY_Adj_Close,OXY_Volume,OIL_Open,OIL_Close,OIL_High,OIL_Low,AVG_Label
71.25,71.65,68.46,52.73,4221877,34.54,33.27,35.11,32.9,0
67.59,69.49,67.29,53.09,3453271,32.98,34.41,34.67,32.37,0
71.23,71.23,69.75,53.44,3347800,35.1,35.1,37,34.73,0
70.31,70.53,68.52,52.69,4651000,35.1,35.97,36.23,34.83,0
69.25,70.6,68.57,53.93,4472100,36.6,36.81,37.25,35.95,0
70.08,71.66,69.57,54.82,4522400,36.62,36.93,37.4,36.1,0
71.59,71.62,69.38,53.96,6663200,37.05,37.07,37.37,36.35,0
70.7,71,69.15,53.37,5744800,37.04,38.72,38.95,36.82,0
70.07,70.74,68.32,53.86,6939600,38.88,40.84,41.04,38.87,0
67.23,69.25,66.3,52.95,5721100,39.65,41.07,41.18,39.39,0
68.27,68.73,67.53,52.96,4637700,40.89,40.05,41.01,39.63,0
69.67,70.21,69.11,54.13,3925300,40.33,40.39,41.03,40.02,0
69.13,69.67,68.65,53.43,2938200,40.25,39.53,40.65,38.82,0
68.06,68.36,67.48,52.87,4180000,39.67,38.74,39.74,38.32,0
68.74,69.74,68.07,53.72,3601500,39.14,40.33,40.44,38.83,0
70.33,71.17,69.45,54.68,4337100,40.45,41.54,41.6,40.41,2
71.24,71.57,70.1,55.17,5978200,41.38,41.2,42.54,41.07,0
70.89,71.36,70.07,54.69,2327000,41.31,41.54,41.88,40.48,0
70.03,70.57,69.37,53.86,3321000,41.47,41.79,42.08,40.97,0
68.89,69.4,68.03,52.84,4478900,41.56,40.47,41.82,40.42,0
67.27,68.74,67.25,53.01,5142200,40.4,40.44,40.64,39.22,0
68.66,68.72,67.76,52.64,2499600,40.58,40.27,41,39.64,0
66.95,68.04,66.9,52.56,3324700,40.19,39.14,40.25,38.76,0
68.91,69.31,68.22,53.08,3037600,39.42,39.26,40.61,39.09,0
68.24,69.42,68.15,52.95,3304700,39.12,39.6,40,38.74,0
67.23,68.42,66.98,52.77,2629500,40.14,38.67,40.43,38.55,0
68.68,69.12,67.77,52.77,3233700,38.69,37.69,38.92,37.5,0
67.48,68.08,66.94,52.17,4191400,37.5,37.87,38.44,37.27,0
67.94,70.24,67.4,54.26,4120800,38.4,39.84,39.94,38.34,0
70.71,71.14,70.22,54.63,3212700,39.68,41.94,42.01,39.62,0
70.81,71.58,70.77,54.78,3170900,42,42.83,43.06,41.41,2
71.28,72.92,70.33,56.06,4211000,42.7,44.69,44.81,42.56,0
72.65,72.88,71.65,55.9,3753200,44.44,44.18,44.94,43.76,0
73.71,74.99,72.99,57.93,4027200,43.14,44.03,44.5,42.6,0
74.63,76.12,74,58.09,4187200,43.52,45.8,45.88,42.81,0
75.21,75.73,74.38,57.74,3228800,45.54,44.53,46.18,44.44,0
74.92,76,74.83,58.69,2851900,44.75,45.11,45.9,44.3,0
75.26,75.93,74.63,58.11,3065200,45.13,44.48,45.59,44.26,0
75.75,76.6,75.24,59.18,3223500,44.69,45.74,46.49,44.36,0
76.76,78.09,76.65,59.99,3678600,46.26,47.18,47.45,45.63,0
76.22,76.5,75.39,59.06,3354900,47.37,45.83,47.4,45.72,0
75.43,75.88,74.71,58.48,4191900,45.8,44.97,46.4,44.62,0
75.18,75.78,73.85,57.23,6165400,45.21,44.62,46.01,44.19,0
75.66,76.89,75.08,58.92,6338800,45.08,45.01,46.77,44.65,0
75.31,76.64,75.1,58.86,5258000,45.16,45.37,46.12,44.19,0
75.25,75.83,74.25,58.45,3936400,45.75,43.63,46.48,43.43,2
75.66,76.58,75.52,59.13,4696300,43.49,45.52,45.7,43.33,0
75.9,77.02,75.68,59.05,4523400,45.59,47.6,47.75,44.8,0
76.36,76.38,75.17,58.3,3689900,47.85,47.83,48.12,47.26,0
76.15,76.85,75.84,59.22,4468400,47.8,48.97,49.47,47.77,0
76.33,77.08,75.76,59.07,5319300,49.03,49.28,49.75,48.57,0
75.38,75.89,74.31,57.89,6095500,49.36,48.93,49.85,48.45,0
74.5,75,73.82,57.91,3963800,48.67,48.81,48.88,47.38,0
75.31,75.43,74.6,58,3411300,48.9,48.72,49.39,48.07,0
74.48,75.37,74.31,57.94,3334500,48.72,48.35,48.84,47.58,0
75.54,76.39,74.98,58.9,3619900,48.35,48.61,49.24,47.8,0
76.87,77.35,75.88,58.94,3399500,49.16,49.74,49.96,48.91,0
76.7,77.18,76.05,58.89,2286800,49.76,49.59,50.51,49.25,0
75.97,76.22,75.58,58.93,2203100,49.42,49.32,49.55,48.69,0
76.22,76.51,75.08,58.38,4584800,49.7,49.69,50.05,49.23,0
74.9,75.55,74.33,58.38,3041900,49.65,49.72,50,48.65,1
74.82,75.25,74.36,58.2,2244600,49.63,50.04,50.3,48.84,0
75.48,75.72,74.37,57.9,2562000,49.95,49.64,50.33,49.3,0
75.56,76.18,75.22,58.35,3296100,49.83,50.55,50.83,49.72,0
76,77.17,75.57,59.48,4531800,50.46,51.44,51.54,50.28,0
74.56,75.66,74.52,59.08,3846600,52.74,51.95,52.86,51.53,0
75,75.46,74.8,58.96,4066300,51.91,50.54,52.1,50.33,0
74.84,75.69,74.63,58.8,5074600,50.42,50.35,50.79,49.61,0
75.09,75.26,74.8,58.7,3880300,49.89,49.83,50.05,49.2,0
75.09,75.34,74.59,58.49,3104700,49.22,48.97,49.8,48.39,0
74.36,74.63,73.82,58.18,3378000,48.56,47.19,48.77,46.94,0
74.85,75.05,74.46,58.57,4062600,47.28,49.17,49.4,47.25,0
75.98,76.66,75.7,59.47,3698000,49.42,50.65,50.68,49.24,0
76.31,77.28,75.81,60.3,3164000,50.43,50.62,51.1,49.46,0
77.28,77.68,76.76,60.25,3564000,51.06,49.88,51.24,49.18,0
77.82,78.31,77.29,61.19,4104000,50.14,50.91,51.18,49.89,2
75.68,76.45,74.84,58.82,5601400,50.69,48.41,50.74,47.54,0
74.36,74.74,72.5,57.14,5173100,48.43,47.16,48.9,46.69,0
74.31,74.31,73.17,57.8,4449100,47.61,48.58,48.79,47.47,0
73.98,75.34,73.88,58.68,4330800,48.84,50.61,50.74,48.62,0
75.22,75.66,74.84,59.05,3779300,50.21,49.68,50.28,49.47,0
75.43,76.25,75.14,59.13,3944600,49.9,50.35,50.66,49.25,0
74.9,75.72,74.53,58.78,3599000,50.03,47.96,50.05,47.54,0
75.22,75.56,74.68,58.96,3358300,48.06,48.8,49.31,47.17,0
75.67,75.99,75,58.96,4564200,49.12,46.4,49.59,46.15,0
76.5,76.5,75.36,59.49,3804200,46.6,46.76,47.23,46.15,0
76.33,76.82,75.93,59.55,3204200,46.49,46.25,47.1,45.9,0
77.41,77.5,76.66,60.46,4347500,46.17,48.47,48.57,46.09,0
77.49,77.58,76.22,60.04,3659400,48.13,46.26,48.2,46.09,0
77.55,77.66,76.93,60.33,4158200,46.59,47.37,47.47,46.34,0
77.01,77.13,76.53,59.99,2779400,47.92,46.96,47.95,46.5,2
76.33,76.88,76.13,59.68,2262500,46.93,46.66,47.49,46.53,0
76.14,76.87,75.87,59.66,1825800,46.76,47.17,47.49,45.9,0
75.92,76.51,75.59,59.18,1980400,47.17,46.2,47.56,46.05,0
75.67,76.01,75.13,58.9,2411400,46.21,45.69,46.5,45.17,0
74.9,75.26,74.1,58.22,4181800,45.7,44.72,45.87,44.55,0
74.21,74.89,73.97,58.37,2734400,44.82,44.87,44.96,44.14,0
74.57,74.85,73.82,57.95,2975100,44.55,43.47,44.91,43.27,0
74.4,74.49,73.3,57.51,4132400,43.11,42.14,43.85,41.87,0
73.96,74.08,72.11,57.14,5563900,42.23,41.8,43.18,41.51,0
73.53,74.41,72.33,58.12,4697100,41.94,43.1,43.47,41.56,0
74.01,74.85,73.92,58.02,3745600,43.36,44.29,44.34,42.51,0
74.2,74.2,73.06,57.58,3842600,44.18,44.27,44.49,43.51,0
74.19,74.69,73.85,58.11,3378000,44.34,45.39,45.71,44.24,0
74.68,74.77,73.32,57.58,3353200,45.25,44.98,45.77,44.76,0
74,74.32,73.13,57.26,2659800,44.92,44.05,45.68,43.81,1
73.84,74.58,73.31,58.02,2729400,43.78,46.04,46.3,43.46,0
74.46,74.6,73.85,58.19,2151400,46.18,46.97,47.25,45.74,0
74.9,75.23,74.72,58.65,4851600,47.14,48.35,48.54,46.84,0
74.77,76.26,74.5,59.4,4289400,48.22,49.23,49.04,48.8,0
75.87,76.62,75.45,59.87,3983000,48.88,49.85,49.93,48.55,0
76.92,77.51,76.73,60.55,4390500,49.76,50.89,51.05,49.52,0
76.91,77.15,76.33,59.81,2992200,50.96,50.88,51.22,50.32,0
76.03,76.53,75.67,59.67,2521900,50.7,49.16,50.7,49.07,0
76.37,77.07,76.37,60.08,2432900,49.04,49.96,50.21,48.48,0
76.88,77.94,76.57,60.73,5358000,49.57,49.05,49.87,48.68,0
77.66,77.7,77,60.45,3228100,49.03,49.67,49.78,48.7,0
